src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic
192.168.1.75,224.0.0.251,5353,5353,1588779596708,1588779598016,1327,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779596708,1588779598016,1467,0
192.168.1.75,224.0.0.251,5353,5353,1588779598120,1588779600214,1440,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779598121,1588779600214,1580,0
192.168.1.75,224.0.0.251,5353,5353,1588779600739,1588779601600,1396,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779600739,1588779601600,1536,0
192.168.1.75,224.0.0.251,5353,5353,1588779601745,1588779603708,1332,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779601745,1588779603709,1472,0
192.168.1.75,224.0.0.251,5353,5353,1588779604273,1588779605132,1396,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779604273,1588779605133,1536,0
192.168.1.75,224.0.0.251,5353,5353,1588779605273,1588779607778,1462,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779605273,1588779607779,1602,0
192.168.1.75,224.0.0.251,5353,5353,1588779607779,1588779608781,1552,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779607779,1588779608781,1692,0
192.168.1.75,224.0.0.251,5353,5353,1588779608883,1588779611286,1381,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779608884,1588779611286,1521,0
192.168.1.75,224.0.0.251,5353,5353,1588779611536,1588779612290,1412,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779611536,1588779612290,1552,0
192.168.1.77,91.108.12.1,23174,536,1588779616036,1588779616673,790,0
192.168.1.77,91.108.12.5,23174,523,1588779616036,1588779616832,790,0
192.168.1.77,91.108.8.7,23174,521,1588779616036,1588779616878,790,0
192.168.1.77,91.108.8.8,23174,538,1588779616036,1588779616881,790,0
192.168.1.77,91.108.16.1,23174,527,1588779616036,1588779616885,726,0
