src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.180,172.16.40.1,51954,161,1651680236239,1651680236283,3038,1,44874052
172.16.40.180,172.16.40.1,51954,161,1651680236283,1651680236364,686,1,44874052
172.16.40.180,172.16.40.6,51954,161,1651680236279,1651680236365,2175,0,9667864
172.16.40.180,172.16.40.1,51954,161,1651680236364,1651680236367,690,1,44874052
172.16.40.180,172.16.40.2,51954,161,1651680236239,1651680236420,3310,0,41211180
172.16.40.180,172.16.40.239,51954,161,1651680236118,1651680236472,1351,0,4675080
172.16.40.180,172.16.40.78,51954,161,1651680236264,1651680236535,2166,0,13150019
172.16.40.180,172.16.40.84,51954,161,1651680236420,1651680236568,1497,0,10458894
172.16.40.180,172.16.40.245,51954,161,1651680236395,1651680236668,1386,0,10782398
172.16.40.1,172.16.40.180,161,51954,1651680236367,1651680236725,1609,1,44875729
172.16.40.2,172.16.40.180,161,51954,1651680236423,1651680236739,1094,0,44873554
172.16.40.239,172.16.40.180,161,51954,1651680236472,1651680236841,637,0,5689571
172.16.40.2,172.16.40.180,161,51954,1651680236739,1651680236843,648,0,44873554
172.16.40.239,172.16.40.180,161,51954,1651680236841,1651680236844,637,0,5689571
172.16.40.180,172.16.40.28,51954,161,1651680236840,1651680236870,633,0,7355715
172.16.40.180,172.16.40.45,51954,161,1651680236842,1651680236982,686,0,13394578
172.16.40.180,172.16.40.53,51954,161,1651680236420,1651680237121,2106,0,16497072
172.16.40.180,172.16.40.49,51954,161,1651680236470,1651680237128,999,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680237127,1651680237243,1363,0,7153504
172.16.40.180,172.16.40.1,51954,161,1651680236921,1651680237247,3194,1,44874052
172.16.40.96,172.16.40.180,161,51954,1651680237243,1651680237257,699,0,6532321
172.16.40.96,172.16.40.180,161,51954,1651680237257,1651680237261,668,0,6532321
172.16.40.180,172.16.40.2,51954,161,1651680236843,1651680237263,1446,0,41211180
172.16.40.180,172.16.40.96,51954,161,1651680237261,1651680237265,665,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237266,1651680237279,667,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237279,1651680237285,674,0,7153504
172.16.40.180,172.16.40.96,51954,161,1651680237285,1651680237289,658,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237290,1651680237294,667,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237294,1651680237301,674,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237302,1651680237307,662,0,6532321
172.16.40.96,172.16.40.180,161,51954,1651680237308,1651680237314,641,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237314,1651680237325,639,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237327,1651680237332,644,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237332,1651680237338,644,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237340,1651680237345,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237345,1651680237351,645,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237352,1651680237365,644,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237365,1651680237371,642,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237372,1651680237381,641,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237381,1651680237390,656,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237392,1651680237406,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237406,1651680237415,648,0,7153504
